,Ball_Count,PKG_Dimension,PKG_Height,RTD_SETUP,tester,equip_id,Due_Date,Suggest_Date,Last_PM,Event_Code,Code,Semi_State_ID,Standard_work_time,Location,Status,PM_duration,Type,Freq,Cur,Due,warning,critical,handler,NOTE
0,200B,200/264FBGA10X14.5,1.0-1.05,200/264FBGA10X14.5_256X_1.0-1.05_1311,SM3316-0059,SM3316-0059,2022-07-23 23:59:00,2022-07-22 23:59:00,2022-06-23 03:26:06.327,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P1121,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0389,
1,376B,376/1156FBGA14X14,0.66-0.71,376/1156FBGA14X14_64-128X_0.66-0.71_1056,SM3016-0146,SM3016-0146,2022-08-12 23:59:00,2022-08-11 23:59:00,2022-07-13 12:28:09.147,CLEAN AND INSPECTION,CLEAN AND INSPECTION,ENGINEERING         ,0.5,T01-TFC1-P0211,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0225,
2,200B,200/264FBGA10X14.5,0.835-0.95,200/264FBGA10X14.5_128X_0.835-0.95_1126,SM3016-0026,TW322SM-0023,2022-07-24 23:59:00,2022-07-23 23:59:00,2022-06-24 08:07:53.833,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0600,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0023,
3,200B,200/264FBGA10X14.5,0.835-0.95,200/264FBGA10X14.5_128X_0.835-0.95_1126,SM3016-0026,TW322SM-0023,2022-07-24 23:59:00,2022-07-23 23:59:00,2022-06-24 08:07:53.850,PM 1 MONTH,TW322SM 1 MONTH PM(FOR IONIZER),PRODUCTIVE          ,6.0,T01-TFC1-P0600,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0023,
4,200B,200/264FBGA10X14.5,0.835-0.95,200/264FBGA10X14.5_128X_0.835-0.95_1126,SM3016-0026,TW322SM-0023,2022-07-24 23:59:00,2022-07-23 23:59:00,2022-06-24 08:07:53.863,PM 1 MONTH,TW322SM 1 MONTH PM(FOR MACHINE),PRODUCTIVE          ,6.0,T01-TFC1-P0600,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0023,
5,200B,200/264FBGA10X14.5,0.835-0.95,200/264FBGA10X14.5_128X_0.835-0.95_1126,SM3016-0026,TW322SM-0023,2022-07-24 23:59:00,2022-07-23 23:59:00,2022-07-09 02:37:10.373,PM ESD CDM 250V,TW322SM ESD 250V HALF MONTH PM,PRODUCTIVE          ,0.5,T01-TFC1-P0600,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,15.0,7.0,1.0,TW322SM-0023,
6,180B,180/252FBGA12X14,1.1-1.2,180/252FBGA12X14_128-256X_1.1-1.2_TORSION_PEEK_1112,SM3016-0080,TW322SM-0140,2022-07-21 23:59:00,2022-07-20 23:59:00,2022-06-21 06:16:19.663,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0503,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0140,
7,180B,180/252FBGA12X14,1.1-1.2,180/252FBGA12X14_128-256X_1.1-1.2_TORSION_PEEK_1112,SM3016-0080,TW322SM-0140,2022-07-21 23:59:00,2022-07-20 23:59:00,2022-06-21 06:16:19.680,PM 1 MONTH,TW322SM 1 MONTH PM(FOR IONIZER),PRODUCTIVE          ,6.0,T01-TFC1-P0503,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0140,
8,180B,180/252FBGA12X14,1.1-1.2,180/252FBGA12X14_128-256X_1.1-1.2_TORSION_PEEK_1112,SM3016-0080,TW322SM-0140,2022-07-21 23:59:00,2022-07-20 23:59:00,2022-06-21 06:16:19.680,PM 1 MONTH,TW322SM 1 MONTH PM(FOR MACHINE),PRODUCTIVE          ,6.0,T01-TFC1-P0503,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0140,
9,180B,180/252FBGA12X14,1.1-1.2,180/252FBGA12X14_128-256X_1.1-1.2_TORSION_PEEK_1112,SM3016-0080,TW322SM-0140,2022-07-21 23:59:00,2022-07-20 23:59:00,2022-07-06 02:54:57.230,PM ESD CDM 250V,TW322SM ESD 250V HALF MONTH PM,PRODUCTIVE          ,0.5,T01-TFC1-P0503,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,15.0,7.0,1.0,TW322SM-0140,
10,896B,896/900BBGA31X31,3.93-4.2,896/900BBGA31X31_4-32X_3.93-4.2_ION_1022,J750-0029,M6542AD-0065,2022-08-12 23:59:00,2022-08-11 23:59:00,2022-07-13 18:11:04.410,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0816,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,M6542AD-0065,
11,896B,896/900BBGA31X31,3.93-4.2,896/900BBGA31X31_4-32X_3.93-4.2_ION_1022,J750-0029,M6542AD-0065,2022-08-12 23:59:00,2022-08-11 23:59:00,2022-07-13 18:11:04.423,PM 1 MONTH,M6542AD PM 1 MONTH,PRODUCTIVE          ,6.0,T01-TFC1-P0816,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,M6542AD-0065,
12,896B,896/900BBGA31X31,3.93-4.2,896/900BBGA31X31_4-32X_3.93-4.2_ION_1022,J750-0029,M6542AD-0065,2022-08-12 23:59:00,2022-08-11 23:59:00,2022-07-13 18:11:04.440,PM 1 MONTH,Advantest 6542 PM 1 MONTH,PRODUCTIVE          ,6.0,T01-TFC1-P0816,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,M6542AD-0065,
13,180B,180/252FBGA12X14,1.1-1.2,180/252FBGA12X14_128-256X_1.1-1.2_DISSIPATIVE_1112,SM3016-0168,SM3016-0168,2022-08-06 23:59:00,2022-08-05 23:59:00,2022-07-07 14:59:25.700,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0303,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0221,
14,200B,200/264FBGA10X14.5,1.1-1.1,200/264FBGA10X14.5_256X_1.1-1.1_1311,SM3316-0109,TW322SM-0212,2022-08-13 23:59:00,2022-08-11 23:59:00,2022-07-14 20:28:36.643,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0402,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0212,
15,200B,200/264FBGA10X14.5,1.1-1.1,200/264FBGA10X14.5_256X_1.1-1.1_1311,SM3316-0109,TW322SM-0212,2022-08-13 23:59:00,2022-08-11 23:59:00,2022-07-14 20:28:36.660,PM 1 MONTH,TW322SM 1 MONTH PM(FOR IONIZER),PRODUCTIVE          ,6.0,T01-TFC1-P0402,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0212,
16,200B,200/264FBGA10X14.5,1.1-1.1,200/264FBGA10X14.5_256X_1.1-1.1_1311,SM3316-0109,TW322SM-0212,2022-08-13 23:59:00,2022-08-11 23:59:00,2022-07-14 20:28:36.677,PM 1 MONTH,TW322SM 1 MONTH PM(FOR MACHINE),PRODUCTIVE          ,6.0,T01-TFC1-P0402,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0212,
17,200B,200/264FBGA10X14.5,1.1-1.1,200/264FBGA10X14.5_256X_1.1-1.1_1311,SM3316-0109,TW322SM-0212,2022-08-12 23:59:00,2022-08-11 23:59:00,2022-05-14 02:02:42.890,PM 3 MONTH,TW322SM 3 MONTH PM,PRODUCTIVE          ,6.0,T01-TFC1-P0402,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,90.0,14.0,1.0,TW322SM-0212,
18,200B,200/264FBGA10X14.5,1.1-1.1,200/264FBGA10X14.5_256X_1.1-1.1_1311,SM3316-0109,TW322SM-0212,2022-07-29 23:59:00,2022-07-28 23:59:00,2022-07-14 20:28:36.677,PM ESD CDM 250V,TW322SM ESD 250V HALF MONTH PM,PRODUCTIVE          ,0.5,T01-TFC1-P0402,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,15.0,7.0,1.0,TW322SM-0212,
19,315B,315/315FBGA12.4X15,1.3-1.3,315/315FBGA12.4X15_256X_1.3-1.3_1329,SM3316-0090,SM3316-0090,2022-07-21 23:59:00,2022-07-20 23:59:00,2022-06-21 14:44:10.327,CLEAN AND INSPECTION,CLEAN AND INSPECTION,STANDBY             ,0.5,T01-TFC1-P0616,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0299,
20,496B,496/756FBGA14X12.4,0.69-0.71,496/756FBGA14X12.4_128X_0.69-0.71_1266,SM3316-0112,TW322SM-0187,2022-07-23 23:59:00,2022-07-20 23:59:00,2022-06-23 20:54:47.180,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0603,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0187,
21,496B,496/756FBGA14X12.4,0.69-0.71,496/756FBGA14X12.4_128X_0.69-0.71_1266,SM3316-0112,TW322SM-0187,2022-07-29 23:59:00,2022-07-28 23:59:00,2021-07-29 00:11:12.200,Ionizer Pin change,Ionizer Pin change,PRODUCTIVE          ,0.5,T01-TFC1-P0603,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,365.0,30.0,1.0,TW322SM-0187,
22,496B,496/756FBGA14X12.4,0.69-0.71,496/756FBGA14X12.4_128X_0.69-0.71_1266,SM3316-0112,TW322SM-0187,2022-07-23 23:59:00,2022-07-20 23:59:00,2022-06-23 20:54:47.197,PM 1 MONTH,TW322SM 1 MONTH PM(FOR IONIZER),PRODUCTIVE          ,6.0,T01-TFC1-P0603,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0187,
23,496B,496/756FBGA14X12.4,0.69-0.71,496/756FBGA14X12.4_128X_0.69-0.71_1266,SM3316-0112,TW322SM-0187,2022-07-23 23:59:00,2022-07-20 23:59:00,2022-06-23 20:54:47.197,PM 1 MONTH,TW322SM 1 MONTH PM(FOR MACHINE),PRODUCTIVE          ,6.0,T01-TFC1-P0603,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0187,
